paper_id,title,authors,institution,publication,publication_date,abstract,keywords
DUMMY-001,Machine Learning Approaches for Academic Metadata Classification,"Nadia Wijaya; Ethan Brooks",School of Computer Science,International Journal of Data and Knowledge Management,2025-01-18,"This study evaluates machine learning approaches for classifying academic metadata and improving the organization of digital research collections.","machine learning; metadata; classification; digital libraries"
DUMMY-002,Privacy Preserving Data Sharing in University Research,"Alya Pratama; Michael Tan",Faculty of Information Technology,Journal of Information Security and Privacy,2024-11-03,"This paper proposes a privacy preserving data sharing workflow for university research projects while maintaining practical access for authorized users.","privacy; data sharing; university research; security"
DUMMY-003,Cloud Based Repository Design for Scholarly Publications,"Fajar Hidayat; Olivia Chen",Research Computing Institute,ACM International Conference on Digital Libraries,2023-09-27,"The research presents a scalable cloud based repository design for storing, indexing, and retrieving scholarly publications.","cloud computing; repository; scholarly publications; scalability"
DUMMY-004,Usability Evaluation of Web Based Research Management Systems,"Siti Maharani; Lucas Martin",Department of Human Computer Interaction,International Conference on Human Computer Interaction,2022-06-14,"This study measures the usability of web based research management systems using task completion time, error rate, and user satisfaction.","usability; web application; human computer interaction; evaluation"
DUMMY-005,Knowledge Graph Construction for Scientific Literature,"Bima Santoso; Grace Wilson",Center for Artificial Intelligence,Journal of Scholarly Knowledge Representation,2021-12-08,"This paper describes a knowledge graph construction pipeline that connects authors, institutions, publications, and research topics.","knowledge graph; scientific literature; linked data; research topics"
DUMMY-006,Information Retrieval Techniques for Multilingual Paper Archives,"Putri Lestari; Daniel Kim",Language Technology Laboratory,International Journal of Information Retrieval,2020-10-21,"The proposed retrieval method improves access to multilingual paper archives by combining language normalization with indexed keyword matching.","information retrieval; multilingual archives; indexing; language technology"
DUMMY-007,Data Quality Validation Rules for Research Information Systems,"Rizky Kurniawan; Emma Davis",School of Information Systems,Journal of Research Data Quality,2019-04-11,"This research defines practical validation rules for detecting incomplete, inconsistent, and duplicated records in research information systems.","data quality; validation; duplicate detection; information systems"
DUMMY-008,Visual Analytics for Publication and Collaboration Trends,"Hana Sari; William Anderson",Institute for Research Analytics,International Symposium on Visual Data Science,2018-08-30,"The study develops visual analytics techniques for exploring publication growth, institutional collaboration, and author productivity.","visual analytics; publication trends; collaboration; dashboards"
DUMMY-009,Open Source Tools for Managing Academic References,"Kevin Nugroho; Sophia Lee",Academic Technology Center,Journal of Open Source Research Tools,2017-02-16,"This paper compares open source tools that support the collection, organization, and exchange of academic reference information.","open source; academic references; research tools; interoperability"
DUMMY-010,Database Normalization in Small Research Information Applications,"Maya Kusuma; Robert Evans",Department of Software Engineering,Software Engineering Practice Review,2016-05-25,"This paper explains how database normalization can reduce redundancy and improve consistency in small research information applications.","database normalization; relational database; software engineering; consistency"
